episode,total_reward,length,death_reason,death_reason_code,pattern_group,pattern_name,speed,time_step,epsilon
1,-7.28000020980835,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.027999999999997,28,
2,-7.2900004386901855,28,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,easy,easy_left_B,1.027999999999997,28,
3,-7.320000171661377,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,hard,hard_complex_3,1.027999999999997,28,
4,-7.310000419616699,28,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,easy,easy_left_A,1.027999999999997,28,
5,-7.2900004386901855,28,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,medium,medium_sides_A,1.027999999999997,28,
6,-7.28000020980835,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.027999999999997,28,
7,-7.240000247955322,28,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,medium,medium_left_center,1.027999999999997,28,
8,-7.320000171661377,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,hard,hard_complex_10,1.027999999999997,28,
9,-7.310000419616699,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.027999999999997,28,
10,-7.2900004386901855,28,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,easy,easy_left_A,1.027999999999997,28,
11,-7.2900004386901855,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,medium,medium_complex_4,1.027999999999997,28,
12,-7.310000419616699,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.027999999999997,28,
13,-7.2900004386901855,28,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,medium,medium_complex_1,1.027999999999997,28,
14,-7.310000419616699,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,hard,hard_complex_9,1.027999999999997,28,
15,-7.310000419616699,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.027999999999997,28,
16,-7.330000400543213,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.027999999999997,28,
17,-7.250000476837158,28,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,medium,medium_left_center,1.027999999999997,28,
18,-7.28000020980835,28,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,easy,easy_center_B,1.027999999999997,28,
19,-7.250000476837158,29,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,easy,easy_center_B,1.0289999999999968,29,
20,-7.1700005531311035,29,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,easy,easy_left_A,1.0289999999999968,29,
