episode,total_reward,length,death_reason,death_reason_code,pattern_group,pattern_name,speed,time_step,epsilon
47,-7.289999999999999,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.027999999999997,28,0.985664
48,-7.309999999999999,28,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,easy,easy_center_B,1.027999999999997,28,0.985664
49,-7.3100000000000005,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,hard,hard_complex_8,1.027999999999997,28,0.985664
50,-7.289999999999999,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,medium,medium_complex_1,1.027999999999997,28,0.985664
51,-7.289999999999999,28,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,medium,medium_complex_5,1.027999999999997,28,0.985664
52,-7.27,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,medium,medium_complex_3,1.027999999999997,28,0.985664
53,-7.3100000000000005,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.027999999999997,28,0.985664
54,-7.319999999999999,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.027999999999997,28,0.985664
55,-7.289999999999999,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.027999999999997,28,0.985664
56,-7.33,28,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,easy,easy_right_A,1.027999999999997,28,0.985664
57,-7.35,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.027999999999997,28,0.985664
58,-7.319999999999999,28,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,medium,medium_complex_3,1.027999999999997,28,0.985664
59,-7.289999999999999,28,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.027999999999997,28,0.985664
60,-7.289999999999999,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,medium,medium_complex_5,1.027999999999997,28,0.985664
61,-7.3,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.027999999999997,28,0.985664
62,-7.309999999999999,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.027999999999997,28,0.985664
63,-7.289999999999999,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,hard,hard_complex_7,1.027999999999997,28,0.985664
64,-7.34,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,hard,hard_sides_block_3,1.027999999999997,28,0.985664
65,-7.3100000000000005,28,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,easy,easy_left_B,1.027999999999997,28,0.985664
66,-7.249999999999999,28,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,medium,medium_complex_4,1.027999999999997,28,0.985664
67,-7.289999999999999,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,hard,hard_sides_block_1,1.027999999999997,28,0.985664
68,-7.3199999999999985,28,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,easy,easy_left_A,1.027999999999997,28,0.985664
69,-7.319999999999999,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,hard,hard_complex_5,1.027999999999997,28,0.985664
70,-7.279999999999999,28,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,easy,easy_left_B,1.027999999999997,28,0.985664
71,-7.34,28,Collision with B (Slide obstacle) at lane 2 - Failed to slide,B_no_slide,medium,medium_right_center,1.027999999999997,28,0.985664
72,-7.3,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.027999999999997,28,0.985664
