episode,total_reward,length,death_reason,death_reason_code,pattern_group,pattern_name,speed,time_step,epsilon
1,-7.300000190734863,28,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,easy,easy_left_A,1.027999999999997,28,
2,-7.330000400543213,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.027999999999997,28,
3,-7.430000305175781,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,medium,medium_complex_2,1.027999999999997,28,
4,-7.300000190734863,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.027999999999997,28,
5,-7.400000095367432,28,Collision with B (Slide obstacle) at lane 2 - Failed to slide,B_no_slide,hard,hard_complex_10,1.027999999999997,28,
6,-7.350000381469727,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,medium,medium_complex_4,1.027999999999997,28,
7,-7.380000114440918,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.027999999999997,28,
8,-7.260000228881836,28,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.027999999999997,28,
9,-7.410000324249268,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.027999999999997,28,
10,-7.300000190734863,28,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,easy,easy_left_B,1.027999999999997,28,
11,-7.360000133514404,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.027999999999997,28,
12,-7.360000133514404,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,medium,medium_complex_4,1.027999999999997,28,
13,-7.410000324249268,28,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,hard,hard_all_B,1.027999999999997,28,
14,-7.390000343322754,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.027999999999997,28,
15,-7.330000400543213,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.027999999999997,28,
16,-7.300000190734863,28,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,hard,hard_all_A,1.027999999999997,28,
17,-7.340000152587891,28,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,easy,easy_left_A,1.027999999999997,28,
18,-7.320000171661377,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,medium,medium_complex_4,1.027999999999997,28,
19,-7.410000324249268,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,medium,medium_complex_6,1.027999999999997,28,
20,-7.380000114440918,28,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,medium,medium_mixed_LR,1.027999999999997,28,
21,-7.250000476837158,29,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,medium,medium_complex_4,1.0289999999999968,29,
22,-7.2900004386901855,29,Collision with C (Unavoidable) at lane 2,C_unavoidable,medium,medium_complex_3,1.0289999999999968,29,
23,-7.250000476837158,29,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,medium,medium_mixed_LR,1.0289999999999968,29,
24,-7.220000267028809,29,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.0289999999999968,29,
25,-7.300000190734863,29,Collision with B (Slide obstacle) at lane 2 - Failed to slide,B_no_slide,medium,medium_sides_B,1.0289999999999968,29,
26,-7.250000476837158,29,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.0289999999999968,29,
27,-7.28000020980835,29,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,medium,medium_right_center,1.0289999999999968,29,
28,-7.160000324249268,30,Collision with C (Unavoidable) at lane 2,C_unavoidable,medium,medium_complex_2,1.0299999999999967,30,
29,-7.190000057220459,30,Collision with C (Unavoidable) at lane 0,C_unavoidable,medium,medium_complex_5,1.0299999999999967,30,
30,-7.010000705718994,31,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,easy,easy_right_A,1.0309999999999966,31,
31,-7.030000686645508,31,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,hard,hard_complex_9,1.0309999999999966,31,
32,-7.100000381469727,31,Collision with C (Unavoidable) at lane 2,C_unavoidable,medium,medium_complex_3,1.0309999999999966,31,
33,-7.010000705718994,31,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,easy,easy_center_B,1.0309999999999966,31,
34,-7.100000381469727,31,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0309999999999966,31,
35,-7.090000629425049,31,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.0309999999999966,31,
36,-5.8600006103515625,33,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.0329999999999964,33,
37,-5.870000839233398,33,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.0329999999999964,33,
38,-3.8800008296966553,33,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,medium,medium_right_center,1.0329999999999964,33,
39,-5.8600006103515625,33,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.0329999999999964,33,
40,-5.880000591278076,33,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,easy,easy_left_B,1.0329999999999964,33,
41,-7.360000133514404,28,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,hard,hard_complex_2,1.027999999999997,28,
42,-7.340000152587891,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.027999999999997,28,
43,-7.400000095367432,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,medium,medium_complex_3,1.027999999999997,28,
44,-7.360000133514404,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.027999999999997,28,
45,-7.350000381469727,28,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.027999999999997,28,
46,-7.310000419616699,28,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,medium,medium_left_center,1.027999999999997,28,
47,-7.360000133514404,28,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,medium,medium_sides_B,1.027999999999997,28,
48,-7.37000036239624,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,medium,medium_complex_1,1.027999999999997,28,
49,-7.380000114440918,28,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,easy,easy_left_B,1.027999999999997,28,
50,-7.250000476837158,29,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.0289999999999968,29,
51,-7.300000190734863,28,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,medium,medium_mixed_LR,1.027999999999997,28,
52,-7.409999847412109,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,medium,medium_complex_5,1.027999999999997,28,
53,-7.160000324249268,30,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.0299999999999967,30,
54,-7.1700005531311035,30,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,medium,medium_complex_4,1.0299999999999967,30,
55,-7.15000057220459,30,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,medium,medium_complex_3,1.0299999999999967,30,
56,-7.2900004386901855,29,Collision with C (Unavoidable) at lane 1,C_unavoidable,medium,medium_complex_1,1.0289999999999968,29,
57,-7.390000343322754,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,medium,medium_complex_3,1.027999999999997,28,
58,-7.12000036239624,30,Collision with C (Unavoidable) at lane 0,C_unavoidable,medium,medium_complex_5,1.0299999999999967,30,
59,-7.330000400543213,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,medium,medium_complex_1,1.027999999999997,28,
60,-7.270000457763672,29,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,easy,easy_center_B,1.0289999999999968,29,
61,-7.15000057220459,30,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,hard,hard_complex_2,1.0299999999999967,30,
62,-7.000000476837158,32,Collision with B (Slide obstacle) at lane 2 - Failed to slide,B_no_slide,easy,easy_right_B,1.0319999999999965,32,
63,-7.070000648498535,31,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,easy,easy_left_B,1.0309999999999966,31,
64,-7.130000591278076,30,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,easy,easy_left_A,1.0299999999999967,30,
65,-7.380000114440918,28,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,easy,easy_center_B,1.027999999999997,28,
66,-7.28000020980835,29,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,easy,easy_center_B,1.0289999999999968,29,
67,-7.130000591278076,30,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.0299999999999967,30,
68,-7.020000457763672,31,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.0309999999999966,31,
69,0.2200075089931488,76,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,medium,medium_left_center,1.0759999999999916,76,
70,-1.8200000524520874,76,Collision with C (Unavoidable) at lane 0,C_unavoidable,medium,medium_complex_5,1.0759999999999916,76,
71,-1.8200000524520874,76,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,easy,easy_left_A,1.0759999999999916,76,
72,0.29000458121299744,76,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.0759999999999916,76,
73,-1.769999623298645,76,Collision with B (Slide obstacle) at lane 2 - Failed to slide,B_no_slide,medium,medium_right_center,1.0759999999999916,76,
74,-1.7799988985061646,76,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,easy,easy_left_A,1.0759999999999916,76,
75,-1.8099995851516724,76,Collision with C (Unavoidable) at lane 0,C_unavoidable,medium,medium_complex_5,1.0759999999999916,76,
76,-1.7899991273880005,76,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0759999999999916,76,
77,-0.7399970889091492,76,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.0759999999999916,76,
78,-1.6799978017807007,78,Collision with B (Slide obstacle) at lane 2 - Failed to slide,B_no_slide,easy,easy_right_B,1.0779999999999914,78,
79,-1.559998631477356,79,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0789999999999913,79,
80,-1.389999508857727,80,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.0799999999999912,80,
81,-1.4799968004226685,80,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,medium,medium_right_center,1.0799999999999912,80,
82,-7.340000152587891,28,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.027999999999997,28,
83,-7.330000400543213,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.027999999999997,28,
84,-7.310000419616699,29,Collision with C (Unavoidable) at lane 1,C_unavoidable,medium,medium_complex_6,1.0289999999999968,29,
85,-7.210000514984131,29,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,easy,easy_center_B,1.0289999999999968,29,
86,-7.37000036239624,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.027999999999997,28,
87,-7.350000381469727,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,medium,medium_complex_6,1.027999999999997,28,
88,-7.190000534057617,30,Collision with B (Slide obstacle) at lane 2 - Failed to slide,B_no_slide,easy,easy_right_B,1.0299999999999967,30,
89,-7.390000343322754,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,hard,hard_complex_5,1.027999999999997,28,
90,-7.369999885559082,28,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,easy,easy_left_B,1.027999999999997,28,
91,-7.190000057220459,30,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0299999999999967,30,
92,-7.410000324249268,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,medium,medium_complex_1,1.027999999999997,28,
93,-7.350000381469727,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.027999999999997,28,
94,-7.180000305175781,30,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.0299999999999967,30,
95,-7.080000400543213,31,Collision with C (Unavoidable) at lane 1,C_unavoidable,medium,medium_complex_6,1.0309999999999966,31,
