episode,total_reward,length,death_reason,death_reason_code,pattern_group,pattern_name,speed,time_step,epsilon
48,-7.329999923706055,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.027999999999997,28,
49,-7.2900004386901855,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.027999999999997,28,
50,-7.250000476837158,29,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0289999999999968,29,
51,-7.360000133514404,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.027999999999997,28,
52,-7.0400004386901855,31,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0309999999999966,31,
53,-7.0400004386901855,31,Collision with C (Unavoidable) at lane 2,C_unavoidable,medium,medium_complex_2,1.0309999999999966,31,
54,-7.1100006103515625,31,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0309999999999966,31,
55,-7.030000686645508,31,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.0309999999999966,31,
56,-7.330000400543213,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,hard,hard_complex_4,1.027999999999997,28,
57,-7.310000419616699,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,medium,medium_complex_5,1.027999999999997,28,
58,-7.320000171661377,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.027999999999997,28,
59,-7.320000171661377,28,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,hard,hard_all_A,1.027999999999997,28,
60,-7.1700005531311035,30,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.0299999999999967,30,
61,-7.220000267028809,29,Collision with B (Slide obstacle) at lane 2 - Failed to slide,B_no_slide,easy,easy_right_B,1.0289999999999968,29,
62,-6.940000534057617,32,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,medium,medium_complex_3,1.0319999999999965,32,
63,0.3000057637691498,76,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,easy,easy_right_A,1.0759999999999916,76,
64,-1.6800004243850708,76,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,easy,easy_left_A,1.0759999999999916,76,
65,-0.7299970388412476,76,Collision with C (Unavoidable) at lane 2,C_unavoidable,hard,hard_sides_block_2,1.0759999999999916,76,
66,-1.7199996709823608,76,Collision with C (Unavoidable) at lane 1,C_unavoidable,medium,medium_complex_6,1.0759999999999916,76,
67,-1.6099990606307983,77,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,easy,easy_center_B,1.0769999999999915,77,
68,-0.6099971532821655,77,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,medium,medium_left_center,1.0769999999999915,77,
69,-1.6599980592727661,77,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.0769999999999915,77,
70,-1.5599976778030396,78,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0779999999999914,78,
71,-1.569998860359192,78,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0779999999999914,78,
72,-1.6199971437454224,78,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.0779999999999914,78,
73,-1.5599995851516724,78,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.0779999999999914,78,
74,-0.33999648690223694,80,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,easy,easy_left_B,1.0799999999999912,80,
75,-1.3699980974197388,80,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,easy,easy_right_A,1.0799999999999912,80,
76,-1.3499985933303833,80,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,easy,easy_left_A,1.0799999999999912,80,
77,-7.2900004386901855,28,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,medium,medium_sides_B,1.027999999999997,28,
78,-7.310000419616699,28,Collision with B (Slide obstacle) at lane 2 - Failed to slide,B_no_slide,medium,medium_sides_B,1.027999999999997,28,
79,-7.330000400543213,28,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,easy,easy_left_A,1.027999999999997,28,
80,-7.330000400543213,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,medium,medium_complex_1,1.027999999999997,28,
81,-7.340000152587891,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.027999999999997,28,
82,-7.310000419616699,28,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,hard,hard_complex_7,1.027999999999997,28,
83,-7.15000057220459,30,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,easy,easy_left_B,1.0299999999999967,30,
84,-7.330000400543213,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.027999999999997,28,
85,-7.28000020980835,28,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,medium,medium_complex_2,1.027999999999997,28,
86,-6.9200005531311035,32,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,easy,easy_right_A,1.0319999999999965,32,
